home_team,away_team,match_datetime,competition,stream_url
Angers,PSG,17/07/2026 19:00,FRANCE: Ligue 1,https://www.scorebat.com/embed/v/69eede64541f0/?utm_source=api&utm_medium=video&utm_campaign=lgc
Koln,Bayer Leverkusen,17/07/2026 19:00,GERMANY: Bundesliga,https://www.scorebat.com/embed/v/69ee907b9f786/?utm_source=api&utm_medium=video&utm_campaign=lgc
Atletico Madrid,Athletic Bilbao,17/07/2026 19:00,SPAIN: La Liga,https://www.scorebat.com/embed/v/69ed938810eba/?utm_source=api&utm_medium=video&utm_campaign=lgc
Getafe,Barcelona,17/07/2026 19:00,SPAIN: La Liga,https://www.scorebat.com/embed/v/69ed93763aa37/?utm_source=api&utm_medium=video&utm_campaign=lgc
Liverpool,Crystal Palace,17/07/2026 19:00,ENGLAND: Premier League,https://www.scorebat.com/embed/v/69ed9358a0b56/?utm_source=api&utm_medium=video&utm_campaign=lgc
Arsenal,Newcastle United,17/07/2026 19:00,ENGLAND: Premier League,https://www.scorebat.com/embed/v/69ed32ca21d9f/?utm_source=api&utm_medium=video&utm_campaign=lgc
Wolves,Tottenham Hotspur,17/07/2026 19:00,ENGLAND: Premier League,https://www.scorebat.com/embed/v/69ed2e73a60d9/?utm_source=api&utm_medium=video&utm_campaign=lgc
Bologna,Roma,17/07/2026 19:00,ITALY: Serie A,https://www.scorebat.com/embed/v/69ed0acf5ef2b/?utm_source=api&utm_medium=video&utm_campaign=lgc
Manchester City,Southampton,17/07/2026 19:00,ENGLAND: FA Cup,https://www.scorebat.com/embed/v/69ed0969830fa/?utm_source=api&utm_medium=video&utm_campaign=lgc
Mainz,Bayern Munich,17/07/2026 19:00,GERMANY: Bundesliga,https://www.scorebat.com/embed/v/69ece9bfc5efc/?utm_source=api&utm_medium=video&utm_campaign=lgc
Westerlo,Antwerp,17/07/2026 19:00,"BELGIUM: First Division A, Conference League Group",https://www.scorebat.com/embed/v/69ef659e48a12/?utm_source=api&utm_medium=video&utm_campaign=lgc
Genk,Standard,17/07/2026 19:00,"BELGIUM: First Division A, Conference League Group",https://www.scorebat.com/embed/v/69ef593087441/?utm_source=api&utm_medium=video&utm_campaign=lgc
Toulouse,Monaco,17/07/2026 19:00,FRANCE: Ligue 1,https://www.scorebat.com/embed/v/69ee901297928/?utm_source=api&utm_medium=video&utm_campaign=lgc
Twente,NEC,17/07/2026 19:00,NETHERLANDS: Eredivisie,https://www.scorebat.com/embed/v/69ed941b09d7a/?utm_source=api&utm_medium=video&utm_campaign=lgc
Verona,Lecce,17/07/2026 19:00,ITALY: Serie A,https://www.scorebat.com/embed/v/69ed9400a18d7/?utm_source=api&utm_medium=video&utm_campaign=lgc
Valencia,Girona,17/07/2026 19:00,SPAIN: La Liga,https://www.scorebat.com/embed/v/69ed93f4d36d0/?utm_source=api&utm_medium=video&utm_campaign=lgc
Pachuca,Pumas,17/07/2026 19:00,"MEXICO: Primera Division, Clausura",https://www.scorebat.com/embed/v/69ed8851081cb/?utm_source=api&utm_medium=video&utm_campaign=lgc
Tigres,Mazatlan,17/07/2026 19:00,"MEXICO: Primera Division, Clausura",https://www.scorebat.com/embed/v/69ed76fee65f7/?utm_source=api&utm_medium=video&utm_campaign=lgc
Feyenoord,Groningen,17/07/2026 19:00,NETHERLANDS: Eredivisie,https://www.scorebat.com/embed/v/69ed418323084/?utm_source=api&utm_medium=video&utm_campaign=lgc
