home_team,away_team,match_datetime,competition
Angers,PSG,17/07/2026 20:00,FRANCE: Ligue 1
Koln,Bayer Leverkusen,17/07/2026 20:00,GERMANY: Bundesliga
Atletico Madrid,Athletic Bilbao,17/07/2026 20:00,SPAIN: La Liga
Getafe,Barcelona,17/07/2026 20:00,SPAIN: La Liga
Liverpool,Crystal Palace,17/07/2026 20:00,ENGLAND: Premier League
Arsenal,Newcastle United,17/07/2026 20:00,ENGLAND: Premier League
Wolves,Tottenham Hotspur,17/07/2026 20:00,ENGLAND: Premier League
Bologna,Roma,17/07/2026 20:00,ITALY: Serie A
Manchester City,Southampton,17/07/2026 20:00,ENGLAND: FA Cup
Mainz,Bayern Munich,17/07/2026 20:00,GERMANY: Bundesliga
Westerlo,Antwerp,17/07/2026 20:00,"BELGIUM: First Division A, Conference League Group"
Genk,Standard,17/07/2026 20:00,"BELGIUM: First Division A, Conference League Group"
Toulouse,Monaco,17/07/2026 20:00,FRANCE: Ligue 1
Twente,NEC,17/07/2026 20:00,NETHERLANDS: Eredivisie
Verona,Lecce,17/07/2026 20:00,ITALY: Serie A
Valencia,Girona,17/07/2026 20:00,SPAIN: La Liga
Pachuca,Pumas,17/07/2026 20:00,"MEXICO: Primera Division, Clausura"
Tigres,Mazatlan,17/07/2026 20:00,"MEXICO: Primera Division, Clausura"
Feyenoord,Groningen,17/07/2026 20:00,NETHERLANDS: Eredivisie
NAC,Ajax,17/07/2026 20:00,NETHERLANDS: Eredivisie
Guimaraes,Rio Ave,17/07/2026 20:00,PORTUGAL: Liga Portugal
Cracovia,Pogon Szczecin,17/07/2026 20:00,POLAND: Ekstraklasa
Al Ahli Jeddah,Machida Zelvia,17/07/2026 20:00,"ASIA: Champions League, Playoffs"
Osijek,Lokomotiva Zagreb,17/07/2026 20:00,CROATIA: HNL
Goztepe,Antalyaspor,17/07/2026 20:00,TURKEY: Super Lig
Benfica,Moreirense,17/07/2026 20:00,PORTUGAL: Liga Portugal
Hamburg,Hoffenheim,17/07/2026 20:00,GERMANY: Bundesliga
Slavia Praha,Olomouc,17/07/2026 20:00,CZECH REPUBLIC: 1. Liga
Lechia Gdansk,Rakow,17/07/2026 20:00,POLAND: Ekstraklasa
Tondela,Nacional,17/07/2026 20:00,PORTUGAL: Liga Portugal
Real Betis,Real Madrid,17/07/2026 20:00,SPAIN: La Liga
Napoli,Cremonese,17/07/2026 20:00,ITALY: Serie A
Bayer Leverkusen,Bayern Munich,17/07/2026 20:00,GERMANY: National cup
PSG,Nantes,17/07/2026 20:00,FRANCE: Ligue 1
Elche,Atletico Madrid,17/07/2026 20:00,SPAIN: La Liga
Barcelona,Celta Vigo,17/07/2026 20:00,SPAIN: La Liga
Burnley,Manchester City,17/07/2026 20:00,ENGLAND: Premier League
Brighton,Chelsea,17/07/2026 20:00,ENGLAND: Premier League
Real Madrid,Alaves,17/07/2026 20:00,SPAIN: La Liga
Inter Milan,Como,17/07/2026 20:00,ITALY: National cup
Manchester City,Arsenal,17/07/2026 20:00,ENGLAND: Premier League
Everton,Liverpool,17/07/2026 20:00,ENGLAND: Premier League
PSG,Lyon,17/07/2026 20:00,FRANCE: Ligue 1
Juventus,Bologna,17/07/2026 20:00,ITALY: Serie A
Bayern Munich,Stuttgart,17/07/2026 20:00,GERMANY: Bundesliga
Verona,AC Milan,17/07/2026 20:00,ITALY: Serie A
Chelsea,Manchester United,17/07/2026 20:00,ENGLAND: Premier League
Atletico Madrid,Real Sociedad,17/07/2026 20:00,SPAIN: National cup
Roma,Atalanta,17/07/2026 20:00,ITALY: Serie A
Tottenham Hotspur,Brighton,17/07/2026 20:00,ENGLAND: Premier League
